dataset_id;Federated dataset;Title;Description;Themes;Keywords;License;Language;Timezone;Modified;Data processed;Metadata processed;Publisher;Reference;Attributions;Created;Issued;Creator;Contributor;Contact name;Contact email;Accrual periodicity;Spatial;Temporal;Granularity;Data quality;Publisher type;Cycle de publication;Périodicité de mise à jour;Number of records;Published;Statut de publication
indicateurs-mensuels-de-surete-depuis-janvier-2015;False;Indicateurs mensuels de Sûreté depuis janvier 2015;Quelques éléments sur les indicateurs de sûreté depuis Janvier 2015;Sécurité;Sûreté;Open Database License (ODbL);fr;;2017-04-01;2017-04-01;2023-03-16;SNCF;;;;;;;;;Mensuelle;;Depuis janvier 2015;SNCF;;;;Irrégulière;21;True;
indicateurs-rse-2016;True;Indicateurs RSE de SNCF Réseau depuis 2016;Ce jeu de données n'est plus mis à jour depuis 2020.   Ce jeu de données contient l’ensemble des indicateurs de responsabilité sociétale de l’Entreprise (RSE) SNCF RESEAU depuis  2016.  Ce jeu de données présente les indicateurs de la politique de responsabilité Sociétale de l’Entreprise (RSE) de SNCF RESEAU. Ces indicateurs recouvrent les 42 thématiques du décret 225 de la loi Grenelle 2 que sont les volets sociaux (l’emploi, l’organisation du travail, les relations sociales, la santé, la sécurité, la formation, l’égalité de traitement, la discrimination…), environnementaux (la pollution, la gestion des déchets, l’utilisation durable des ressources, le changement climatique, la protection de la biodiversité, l’énergie … et sociétaux (ancrage territorial, économique et social des activités de SNCF Réseau, le dialogue avec les parties prenantes…) mais aussi des 3 principes d’actions qui la gouverne (parties prenantes, gouvernance et éthique).  Eléments de compréhension sur certains indicateurs : https://www.sncf-reseau.com/sites/default/files/2019-09/M%C3%A9thodologie%20DPEF%20SNCF%20R%C3%A9seau%202018.pdf;Réseau;SNCF RESEAU,Indicateurs,RSE;Open Database License (ODbL);fr;;2022-03-23;2020-07-08;2024-01-10;SNCF Réseau;;;;;;;;;;;;;;;;Annuelle;159;True;En retard
info-ges;True;Information GES;La SNCF publie sa méthodologie de calcul de quantité de gaz à effet de serre (GES) émise à l'occasion d'une prestation de transport, conformément à l'article L1431.3 du Code des Transports.  Cette note méthodologique indique les valeurs d'émissions CO2e en vigueur pour chacune des activités ferroviaires de voyageurs en France ainsi que les valeurs des autres modes de transport (routier, aérien) pour comparaison.  La version en vigueur a été actualisée en août 2023.;Informations institutionnelles et financières;RSE,GES,empreinte carbone,CO2;Open Database License (ODbL);fr;;2022-12-01;;2024-08-02;SNCF Voyageurs;;;;;;;;;;;;;;;;Annuelle;0;True;En retard
interceptions-programmees-sur-ligne;True;Interceptions programmées sur ligne;Ce jeu de données ouvre les données de Transparence Travaux : nombre d’interceptions programmées par type sur le RFN par zone de responsabilité d’un Infrapôle et par ligne.  La carte mise à jour chaque semaine à destination du grand public est disponible sur sncf-reseau.fr;Réseau;SNCF RESEAU,Interceptions,Famille de travaux;Open Database License (ODbL);fr;;2022-03-25;2024-01-05;2024-01-10;SNCF Réseau;;;;;;;;;;;;;;;;Annuelle;482;True;En retard
evolution-des-investissements-nets-sncf-mobilites-depuis-1997;False;Investissements de SNCF Mobilités (en milliards d'euros) depuis 1997;Investissements SNCF Mobilités (en milliards d'euros) tous financements confondus (y compris les financements par des tiers comme les Régions) dont la part de financement propre de SNCF depuis 1997. Ces investissements concernent les actifs immobilisés au bilan (inversement, pas les dépenses quotidiennes).   NB : les normes comptables appliquées ici sont les normes françaises avant 2007 et IFRS ensuite;Informations institutionnelles et financières;Investissement,Investissement net,SNCF Mobilités,Direction Stratégie Finances;Open Database License (ODbL);fr;;2019-09-06;2019-09-06;2021-03-31;SNCF;;;;;;;;;;;Depuis 1997;SNCF Mobilités;;;;Annuelle;22;True;En retard
mouvements-sociaux-depuis-1947;False;Journées perdues lors de mouvements sociaux chaque année depuis 1947;"Journées perdues lors de mouvements sociaux chaque année depuis 1947.  Explications des champs : 
        Effectif à disposition : effectif de l'entreprise en équivalent temps plein.
    
        Journée perdue par agent : résultat du rapport entre le nombre de jours de grève comptabilisé sur une période et l’effectif à disposition sur cette même période.
     
    Les données relatives aux conflits sociaux entre la création de SNCF en 1937 et 1947 n'ont pas été archivées dans leur intégralité.";Social et ressources humaines;Mouvements sociaux,Histoire,Grève,Direction Cohésion;Open Database License (ODbL);fr;;2023-05-15;2023-05-15;2023-05-15;SNCF;;;;2014-06-18;Direction cohésion & ressources humaines;;;;Annuelle;;Depuis 1947;Année;;;;Annuelle;76;True;En retard
mouvements-sociaux-depuis-1994;False;Journées perdues lors de mouvements sociaux chaque mois depuis 1994;Journées perdues chaque mois lors de conflits sociaux depuis 1994.;Social et ressources humaines;Mouvements sociaux,Histoire,Grève,Direction Cohésion;Open Database License (ODbL);fr;;2024-04-23;2024-04-23;2024-04-23;SNCF;;;;2014-06-28;;;;;Mensuelle;;Depuis 1994;Mois;;;;Mensuelle;362;True;En retard
lettres-audits-etablissements-ferroviaires;False;Lettres de suite des audits de sécurité des établissements ferroviaires;"Lettres de suite des audits d'établissements ferroviaires impliquant la Sécurité de l'Exploitation Ferroviaire.  Tous les deux ans, 186 établissements ferroviaires SNCF font l’objet d’un Audit National de Sécurité (ANS). Conformément à la procédure en vigueur, l'audit évalue le niveau de sécurité des domaines opérationnels des établissements ainsi que la qualité du management. Les notations techniques sont adressées au directeur de l’établissement SNCF concerné avec une lettre de suite, c’est-à-dire un résumé des points saillants de l’audit.  Les types d'établissement suivant sont audités : 
INFRALOGINFRAPOLETECHNICENTRE INDUSTRIELTECHNICENTRE de MAINTENANCEETABLISSEMENT INFRA CIRCULATIONETABLISSEMENTS VOYAGEURS";Sécurité ferroviaire;Sécurité,Audits,Etablissements ferroviaires,Sécurité & Qualité de Service Ferroviaire;Open Database License (ODbL);fr;;2024-05-17;2024-05-17;2024-05-17;SNCF;;;;2014-09-09;;;;;;;Depuis mai 2014;Etablissement ferroviaire SNCF;;;;Irrégulière;793;True;
lexique-des-acronymes-sncf;False;Lexique des abréviations SNCF;Issu des ressources électroniques de la Direction des Ressources Humaines,ce jeu de données liste les abréviations propres au secteur ferroviaire. Il se veut évolutif et sera mis à jour mensuellement.   Nous distinguons dans le premier champ l’abréviation et dans le deuxième la définition et champ d’application liés aux activités de la SNCF.;Social et ressources humaines;Acronyme,Abréviation,Ressources humaines,Direction Cohésion;Open Database License (ODbL);fr;;2017-04-25;2017-04-25;2023-02-15;SNCF;;;;;;;;;;;;;;;;Irrégulière;9502;True;
lignes-equipees-de-kvb;True;Lignes équipées de KVB;Lignes du Réseau Ferré National équipées de KVB (contrôle de vitesse par balise).  Ce fichier liste les portions de ligne équipées de contrôle de vitesse par balise.  Ce jeu publie les données en l’état des bases au 31/12/2021.   Les coordonnées géographiques sont une conversion des coordonnées ferroviaires en Lambert 93 et en WGS84 (EPSG:3857).  date de mise à jour 21/04/2022;Réseau;SNCF RESEAU,Lignes,Infrastructure,KVB,Géolocalisation;Open Database License (ODbL);fr;Europe/Paris;2022-03-24;2023-06-28;2024-01-10;SNCF Réseau;;;;;;;;;;;;;;;;Annuelle;612;True;En retard
lignes-equipees-de-liaison-radio-sol-train;True;Lignes équipées de liaison radio sol-train;Lignes du Réseau Ferré National équipées de liaison sol-train.  Ce fichier liste les portions de ligne équipées de liaison radio sol-train et en précise le type.  La liaison peut être sans transmission de données (SANS TD), avec transmission (AVEC TD) ou GSM.  Ce jeu publie les données en l’état des bases au 31/12/2021.   Les coordonnées géographiques sont une conversion des coordonnées ferroviaires en Lambert 93 et en WGS84 (EPSG:3857).  date de mise à jour 10/082022;Réseau;SNCF RESEAU,Lignes,Infrastructure,Radio sol-train,Géolocalisation;Open Database License (ODbL);fr;Europe/Paris;2022-03-24;2023-06-28;2024-01-10;SNCF Réseau;;;;;;;;;;;;;;;;Annuelle;758;True;En retard
lignes-lgv-et-par-ecartement;True;Lignes LGV et par écartement;Liste des lignes du Réseau Ferré National par catégorie (ligne à écartement normal, étroit ou ligne LGV).  Ce jeu de donnée publie les lignes du réseau en précisant si elles ont un écartement normal, métrique (étroit) ou si elles sont LGV.  Ce jeu publie les données en l’état des bases au 31/12/2021.  Les coordonnées géographiques sont une conversion des coordonnées ferroviaires en Lambert 93 et en WGS84 (EPSG:3857).  Dans certains cas, la transformation de la localisation ferroviaire en coordonnées géographiques n’est pas possible : ces coordonnées n’ont pas été collectées pour les lignes qui ne sont plus exploitées  date de mise à jour 21/04/2023;Description du réseau;SNCF RESEAU,Lignes,Infrastructure,Écartement des voies,Géolocalisation,LGV;Open Database License (ODbL);fr;Europe/Paris;2020-05-26;2023-06-28;2024-01-10;SNCF Réseau;;;;;;;;;;;;;;;;Annuelle;1081;True;En retard
lignes-par-region-administrative;True;Lignes par région administrative;Liste des lignes du Réseau Ferré National par région administrative.  Les portions de ligne du réseau sont listées dans ce jeu de données par région administrative traversée par la ligne.   Chaque ligne du fichier correspond à la portion de la ligne du réseau appartenant à une région administrative.  Ce jeu publie les données en l’état des bases au 31/12/2021.  Les coordonnées géographiques sont une conversion des coordonnées ferroviaires en Lambert 93 et en WGS84 (EPSG:3857).  Dans certains cas, la transformation de la localisation ferroviaire en coordonnées géographiques n’est pas possible : ces coordonnées n’ont pas été collectées pour les lignes qui ne sont plus exploitées.  date de mise à jour 10/08/2022;Réseau;SNCF RESEAU,Lignes,Infrastructure,Régions,Géolocalisation;Open Database License (ODbL);fr;Europe/Paris;2022-03-24;2023-06-28;2024-01-10;SNCF Réseau;;;;;;;;;;;;;;;;Annuelle;1384;True;En retard
lignes-par-statut;True;Lignes par statut;Liste des lignes du Réseau Ferré National par statut.  Les portions de ligne du réseau sont listées dans ce jeu de données par statut.   Une ligne du fichier correspond à une portion du réseau qui a le même statut.   Les statuts sont les suivants : projet (PROJET), exploitée (EXPLOITE), neutralisée (NEUT), neutralisée et conservée (NEUT DEF), transférée en voie de service (VS), fermée non déposée (FERME ND), fermée avec maintien en place de la voie (FERME MV), fermée et déposée (FERME D), fermée (FERME), fermée mise à disposition de tiers (FERME DT), retranchée (RETRANCHE), déclassée non vendue (DEC NV), déclassée vendue (DEC V).  Ce jeu publie les données en l’état des bases au 31/12/2022.   Les coordonnées géographiques sont une conversion des coordonnées ferroviaires en Lambert 93 et en WGS84 (EPSG:3857).  Dans certains cas, la transformation de la localisation ferroviaire en coordonnées géographiques n’est pas possible : ces coordonnées n’ont pas été collectées pour les lignes qui ne sont plus exploitées.  date de mise à jour 11/05/2023;Réseau;SNCF RESEAU,Lignes,Infrastructure,Statut,Géolocalisation;Open Database License (ODbL);fr;Europe/Paris;2022-03-24;2023-05-12;2024-01-10;SNCF Réseau;;;;;;;;;;;;;;;;Annuelle;1853;True;En retard
lignes-par-type;True;Lignes par type;Liste des lignes du Réseau Ferré National, par type, quelque soit son statut d’exploitation.  Les types de ligne sont les suivants : ligne, raccordement, voie mère d'embranchement, voie de desserte de port.  Ce jeu publie les données en l’état des bases au 31/12/2021.   Les coordonnées sont une conversion des coordonnées ferroviaires en Lambert 93 et en WGS 84 (EPSG:3857).  Dans certains cas, la transformation de la localisation ferroviaire en coordonnées géographiques n’est pas possible : ces coordonnées n’ont pas été collectées pour les lignes qui ne sont plus exploitées.  date de mise à jour 11/05/2023;Description du réseau;SNCF RESEAU,Lignes,Infrastructure,Type de ligne,Géolocalisation;Open Database License (ODbL);fr;Europe/Paris;2020-05-26;2023-05-12;2024-01-10;SNCF Réseau;;;;;;;;;;;;;;;;Annuelle;1043;True;En retard
liste-des-chantiers;True;Liste des chantiers;Localisation des chantiers du Réseau Ferré National.  Les chantiers sont les établissements qui font du triage de wagons : les chantiers, les différents faisceaux utilisés pour le garage du matériel.  Ce jeu publie les données en l’état des bases au 31/12/2021.   Ces objets sont localisés par leur point d’entrée sur le réseau. Ils peuvent être de ce fait localisés soit directement sur une ligne, soit sur un autre objet (lui-même localisé sur une ligne).  Lorsqu’un élément se trouve à proximité de plusieurs lignes, il est projeté sur les différentes lignes.  Les coordonnées sont exprimées en Lambert 93 et WGS84 (EPSG:3857).  date de mise à jour 21/04/2023;Réseau;SNCF RESEAU,Infrastructure,Géolocalisation;Open Database License (ODbL);fr;Europe/Paris;2022-03-24;2023-06-28;2024-01-10;SNCF Réseau;;;;;;;;;;;;;;;;Annuelle;4214;True;En retard
liste-des-circuits-de-voie;True;Liste des circuits de voie;Localisation des circuits de voie du Réseau Ferré National.  Ce jeu publie les données en l’état des bases au 31/12/2021.   Les éléments d’infrastructure sont localisés par projection sur la ligne correspondante. Les coordonnées GPS proposées sont celles de la projection de l’objet sur la ligne. De ce fait, il peut y avoir un écart avec la géolocalisation de l’objet.  Lorsqu’un élément se trouve à proximité de plusieurs lignes, il est projeté sur les différentes lignes. Quand un objet est projeté sur une ligne qui n’est plus exploitée, la traduction de la localisation n’est pas possible.  Les coordonnées sont une conversion des coordonnées ferroviaires en Lambert 93 et en WGS84 (EPSG:3857).  Dernière mise à jour : 21/04/2023;Description du réseau;SNCF RESEAU,Circuits de voie,Infrastructure,Géolocalisation;Open Database License (ODbL);fr;Europe/Paris;2020-05-26;2023-06-28;2024-01-10;SNCF Réseau;;;;;;;;;;;;;;;;Annuelle;73923;True;En retard
liste-des-gares;True;Liste des gares;Liste des gares du Réseau Ferré National.  Ce jeu de donnée liste les gares du réseau, en précisant leur type (gare voyageur ou gare de fret).  Ce jeu publie les données en l’état des bases au 31/12/2021.   Les éléments d’infrastructure sont localisés par projection sur la ligne correspondante. Les coordonnées proposées sont celles de la projection de l’objet sur la ligne. De ce fait, il peut y avoir un écart avec la géolocalisation de l’objet.  Lorsqu’un élément se trouve à proximité de plusieurs lignes, il est projeté sur les différentes lignes.  Les coordonnées géographiques sont une conversion des coordonnées ferroviaires en Lambert 93 et en WGS84 (EPSG:3857).  date de mise à jour le 21/04/2023;Réseau;SNCF RESEAU,Gares,Infrastructure,Géolocalisation;Open Database License (ODbL);fr;Europe/Paris;2022-03-24;2023-04-28;2024-01-10;SNCF Réseau;;;;;;;;;;;;;;;;Annuelle;3819;True;En retard
liste-des-installations-terminales-embranchees;True;Liste des installations terminales embranchées;Liste des installations terminales embranchées du Réseau Ferré National.  Ce jeu de donnée liste les installations terminales embranchées et localise leur point d’entrée.  Une Installation Terminale Embranchée est une voie ferrée desservant une entreprise, une usine, un dépôt, une zone industrielle ou portuaire à partir du réseau ferroviaire national afin de permettre le transport de marchandise sans rupture de charge.  Ce jeu publie les données en l’état des bases au 31/12/2021.   Les éléments d’infrastructure sont localisés par projection sur la ligne correspondante. Les coordonnées GPS proposées sont celles de la projection de l’objet sur la ligne. De ce fait, il peut y avoir un écart avec la géolocalisation de l’objet.  Quand un objet est projeté sur une ligne qui n’est plus exploitée, la traduction de la localisation n’est pas possible.  Ces objets sont localisés par leur point d’entrée sur le réseau. Ils peuvent être de ce fait localisés soit directement sur une ligne, soit sur un autre objet (lui-même localisé sur une ligne).  Lorsqu’un élément se trouve à proximité de plusieurs lignes, il est projeté sur les différentes lignes.  Les coordonnées sont exprimées en Lambert 93 et en WGS84 (EPSG:3857).  date de mise à jour le 10/08/2022;Description du réseau;SNCF RESEAU,Installations terminales embranchées,Infrastructure,Géolocalisation;Open Database License (ODbL);fr;Europe/Paris;2020-05-26;2023-06-28;2024-01-10;SNCF Réseau;;;;;;;;;;;;;;;;Annuelle;1807;True;En retard
liste-des-lignes-electrifiees;True;Liste des lignes électrifiées;Liste des lignes électrifiées du Réseau Ferré National par type d’électrification.  Les portions de ligne électrifiées du réseau sont listées dans ce jeu de données.  Une ligne du fichier correspond à une portion du réseau électrifiée de la même manière.   Les portions non électrifiées ne sont pas listées.  Ce jeu publie les données en l’état des bases au 31/12/2021.   Les coordonnées géographiques sont une conversion des coordonnées ferroviaires en Lambert 93 et en WGS84 (EPSG:3857).  Dans certains cas, la transformation de la localisation ferroviaire en coordonnées géographiques n’est pas possible : ces coordonnées n’ont pas été collectées pour les lignes qui ne sont plus exploitées.  Dernière mise à jour : 19/04/2023;Description du réseau;SNCF RESEAU,Lignes,Infrastructure,Electrification,Géolocalisation;Open Database License (ODbL);fr;Europe/Paris;2020-05-26;2023-06-28;2024-01-10;SNCF Réseau;;;;;;;;;;;;;;;;Annuelle;606;True;En retard
liste-des-passages-a-niveau;True;Liste des passages à niveau;"Liste des passages à niveau du Réseau Ferré National.  Ce jeu de données liste les passages à niveau du réseau. Les types de passage à niveau sont précisés dans le fichier joint. Le fichier précise si les passages à niveau sont équipés de barrières ou non, de signalisation automatique lumineuse (SAL), sur des passages publics ou privés.  Ce jeu publie les données en l’état des bases à la date de publication. Une mise en qualité a été réalisée permettant une géolocalisation de plus de 90% des passages à niveaux à moins d’un mètre. Les coordonnées de chaque PN sont au centre géographique du croisement de chaque route avec chaque ligne ferroviaire.  Les coordonnées sont en Lambert 93 et en WGS84 (EPSG:3857).  Les passages à niveau dont le franchissement est difficile pour  les véhicules surbaissés sont identifiés pour un « Oui » dans la colonne ""Franchissement difficile pour véhicules surbaissés"". 




		   Classe
	

		Définition
	



		10
	

		PN public   pour voitures sans barrières protection assurée par un agent
	



		11
	

		PN public   pour voitures avec barrières gardé sans passage piétons accolé manoeuvré à   pied d'œuvre
	



		12
	

		PN public   pour voitures avec barrières gardé sans passage piétons accolé manoeuvré à   distance
	



		13
	

		PN public   pour voitures avec barrières gardé sans passage piétons accolé manoeuvré à pied   d'oeuvre et distance
	



		14
	

		PN public   pour voitures avec barrières gardé avec passage piétons accolé manoeuvré à   pied d'œuvre
	



		15
	

		PN public   pour voitures avec barrières gardé avec passage piétons accolé manoeuvré à   distance
	



		16
	

		PN public   pour voitures avec barrières gardé avec passage piétons accolé manoeuvré à   pied d'oeuvre distance
	



		17
	

		PN public   pour voitures avec barrières ou 1/2 barrières non gardé à SAL 2 et SAL 2B
	



		18
	

		PN public   pour voitures avec barrières ou 1/2 barrières non gardé à SAL 2 + ilot   séparateur
	



		19
	

		PN public   pour voitures avec barrières ou 1/2 barrières non gardé à SAL 4
	



		20
	

		PN public   pour voitures sans barrières sans SAL
	



		21
	

		PN public   pour voitures sans barrières avec SAL 0
	



		31
	

		PN public   isolé pour piétons sans portillons
	



		32
	

		PN public   isolé pour piétons avec portillons
	



		41
	

		PN privé   pour voitures sans barrières
	



		42
	

		PN privé   pour voitures avec barrières sans passage piétons accolé
	



		43
	

		PN privé pour   voitures avec barrières avec passage piétons accolé public
	



		44
	

		PN privé   pour voitures avec barrières avec passage piétons accolé privé
	



		45
	

		PN privé   isolé pour piétons sans portillons
	



		46
	

		PN privé   isolé pour piétons avec portillons
	



		0
	

		PN   secondaire : Un PN peut être localisé sur plusieurs lignes et possède une   identification différente sur chacune des lignes où il est localisé. Une des   identifications, appelée PN père, porte la classe du PN (classe 10 à classe   46). Les autres identifications, appelées PN secondaires, portent la classe   00. La référence au PN père est indiquée dans le libellé d’obstacle des PN   secondaires sous la forme suivante : 
		   <libellé du PN père> <code ligne du PN père> <PK du PN père   >";Réseau;SNCF RESEAU,Passages à niveau,Infrastructure,Géolocalisation;Open Database License (ODbL);fr;Europe/Paris;2022-03-24;2023-05-11;2024-01-10;SNCF Réseau;;;;;;;;;;;;;;;;Annuelle;17387;True;En retard
liste-des-passages-souterrains;True;Liste des passages souterrains;"Liste des passages souterrains du Réseau Ferré National.  Les ouvrages d’art supérieurs à 2 mètres sont listés.  Ce jeu publie les données en l’état des bases au 31/12/2021.   Les éléments d’infrastructure sont localisés par projection sur la ligne correspondante. Les coordonnées GPS proposées sont celles de la projection de l’objet sur la ligne. De ce fait, il peut y avoir un écart avec la géolocalisation de l’objet.  Lorsqu’un élément se trouve à proximité de plusieurs lignes, il est projeté sur les différentes lignes. Quand un objet est projeté sur une ligne qui n’est plus exploitée, la traduction de la localisation n’est pas possible.  Les coordonnées sont une conversion des coordonnées ferroviaires en Lambert 93 et en WGS84 (EPSG:3857).  Dernière
mise à jour : 28/04/2023";Réseau;SNCF RESEAU,Passages souterrains,Infrastructure,Géolocalisation;Open Database License (ODbL);fr;Europe/Paris;2022-03-24;2023-04-28;2024-01-10;SNCF Réseau;;;;;;;;;;;;;;;;Annuelle;649;True;En retard
liste-des-passerelles;True;Liste des passerelles;"Les ouvrages d’art supérieurs à 2 mètres sont listés.  Ce jeu publie les données en l’état des bases au 31/12/2021.   Les éléments d’infrastructure sont localisés par projection sur la ligne correspondante. Les coordonnées GPS proposées sont celles de la projection de l’objet sur la ligne. De ce fait, il peut y avoir un écart avec la géolocalisation de l’objet.  Lorsqu’un élément se trouve à proximité de plusieurs lignes, il est projeté sur les différentes lignes. Quand un objet est projeté sur une ligne qui n’est plus exploitée, la traduction de la localisation n’est pas possible.  Les coordonnées sont une conversion des coordonnées ferroviaires en Lambert 93 et en WGS84 (EPSG:3857).  Dernière
mise à jour : 19/04/2023";Réseau;SNCF RESEAU,Passerelles,Infrastructure,Géolocalisation;Open Database License (ODbL);fr;Europe/Paris;2022-03-24;2023-04-28;2024-01-10;SNCF Réseau;;;;;;;;;;;;;;;;Annuelle;1046;True;En retard
liste-des-ponts-route;True;Liste des ponts-route;"Liste des ponts-route du Réseau Ferré National.  Les ouvrages d’art supérieurs à 2 mètres sont listés.  Ce jeu publie les données en l’état des bases au 31/12/2021.   Les éléments d’infrastructure sont localisés par projection sur la ligne correspondante. Les coordonnées GPS proposées sont celles de la projection de l’objet sur la ligne. De ce fait, il peut y avoir un écart avec la géolocalisation de l’objet.  Lorsqu’un élément se trouve à proximité de plusieurs lignes, il est projeté sur les différentes lignes. Quand un objet est projeté sur une ligne qui n’est plus exploitée, la traduction de la localisation n’est pas possible.  Les coordonnées sont une conversion des coordonnées ferroviaires en Lambert 93 et en WGS84 (EPSG:3857).  Dernière
mise à jour : 28/04/2023";Réseau;SNCF RESEAU,Pont-Route,Infrastructure,Géolocalisation;Open Database License (ODbL);fr;Europe/Paris;2022-03-24;2023-04-28;2024-01-10;SNCF Réseau;;;;;;;;;;;;;;;;Annuelle;9792;True;En retard
liste-des-quais;True;Liste des quais;"Liste des quais du Réseau Ferré National.  Liste des quais du réseau avec leurs caractéristiques (hauteur, longueur).  La localisation est renseignée lorsqu’elle a été collectée sur le terrain et renseignée dans la base référentielle.  Ce jeu publie les données en l’état des bases au 31/12/2021.  Les éléments d’infrastructure sont localisés par projection sur la ligne correspondante. Les coordonnées GPS proposées sont celles de la projection de l’objet sur la ligne. De ce fait, il peut y avoir un écart avec la géolocalisation de l’objet.  Quand un objet est projeté sur une ligne qui n’est plus exploitée, la traduction de la localisation n’est pas possible.  Les coordonnées sont une conversion des coordonnées ferroviaires en Lambert 93 et en WGS84 (EPSG:3857).  Dernière
mise à jour : 19/04/2023";Description du réseau;SNCF RESEAU,Quais,Infrastructure,Géolocalisation;Open Database License (ODbL);fr;Europe/Paris;2020-05-26;2023-04-19;2024-01-10;SNCF Réseau;;;;;;;;;;;;;;;;Annuelle;6628;True;En retard
liste-des-traversees-de-voie-par-le-public;True;Liste des traversées de voie par le public;"Liste des traversées de voie par le public du Réseau Ferré National.  Les traversées sont signalées par un pictogramme (PI), avec de la signalétique (PP) ou par un autre équipement (AU).  Ce jeu publie les données en l’état des bases au 31/12/2021.   Les éléments d’infrastructure sont localisés par projection sur la ligne correspondante. Les coordonnées GPS proposées sont celles de la projection de l’objet sur la ligne. De ce fait, il peut y avoir un écart avec la géolocalisation de l’objet.  Lorsqu’un élément se trouve à proximité de plusieurs lignes, il est projeté sur les différentes lignes. Quand un objet est projeté sur une ligne qui n’est plus exploitée, la traduction de la localisation n’est pas possible.  Les coordonnées sont une conversion des coordonnées ferroviaires en Lambert 93 et en WGS84 (EPSG:3857).  Dernière
mise à jour : 21/04/2023";Description du réseau;SNCF RESEAU,Traversée de voie par le public,Infrastructure,Géolocalisation;Open Database License (ODbL);fr;Europe/Paris;2020-05-26;2023-04-21;2024-01-10;SNCF Réseau;;;;;;;;;;;;;;;;Annuelle;907;True;En retard
liste-des-triages;True;Liste des triages;"Liste des triages du Réseau Ferré National.  Ce jeu de donnée liste les triages du réseau.  Certains triages ont été déclassés et se retrouvent dans la liste des chantiers (établissements qui font du triage).  Ce jeu publie les données en l’état des bases au 31/12/2021.   Ces objets sont localisés par leur point d’entrée sur le réseau. Ils peuvent être de ce fait localisés soit directement sur une ligne, soit sur un autre objet (lui-même localisé sur une ligne).  Lorsqu’un élément se trouve à proximité de plusieurs lignes, il est projeté sur les différentes lignes.  Les coordonnées sont exprimées en WGS84 (EPSG:3857).  Dernière
mise à jour : 10/08/2022";Description du réseau;SNCF RESEAU,Triages,Infrastructure,Géolocalisation;Open Database License (ODbL);fr;Europe/Paris;2020-05-26;2023-06-28;2024-01-10;SNCF Réseau;;;;;;;;;;;;;;;;Annuelle;98;True;En retard
liste-ouvrages-en-terre;True;Liste ouvrages en terre;"Liste des ouvrages en terre du Réseau Ferré National.  Les ouvrages en terre sont typés en fonction du sens de dénivellement, soit déblai ou remblais.  Ce jeu publie les données en l’état des bases au 31/12/2021.   Les éléments d’infrastructure sont localisés par projection sur la ligne correspondante. Les coordonnées GPS proposées sont celles de la projection de l’objet sur la ligne. De ce fait, il peut y avoir un écart avec la géolocalisation de l’objet.  Lorsqu’un élément se trouve à proximité de plusieurs lignes, il est projeté sur les différentes lignes. Quand un objet est projeté sur une ligne qui n’est plus exploitée, la traduction de la localisation n’est pas possible.  Les coordonnées sont une conversion des coordonnées ferroviaires en Lambert 93 et en WGS84 (EPSG:3857).  Dernière
mise à jour : 28/04/2023";Description du réseau;SNCF RESEAU,Ouvrages en terre,Infrastructure,Géolocalisation;Open Database License (ODbL);fr;Europe/Paris;2020-05-26;2023-04-28;2024-01-10;SNCF Réseau;;;;;;;;;;;;;;;;Annuelle;25764;True;En retard
mode-de-cantonnement-des-lignes;True;Mode de cantonnement des lignes;Mode de cantonnement sur les lignes du Réseau Ferré National.  Le mode de cantonnement indique le système de signalisation mis en place pour assurer l’espacement des trains circulant dans le même sens.  Sur ligne, le mode de cantonnement correspond à celui décrit dans les renseignements techniques, au PK moyen si le changement ne se fait pas exactement au même endroit pour chaque voie, sans tenir compte des interruptions du cantonnement à la traversée de certaines gares, si ce cantonnement existe de par et d’autre de ces gares.  Les différents types de mode de cantonnement sont : Les blocks automatiques (BAL et BAPR)Les blocks manuels (BM)Les cantonnements téléphoniques (CAPI et CT)Les transmissions voie-machine (TVM)Les ETCSautres Ce jeu publie les données en l’état des bases au 31/12/2021.   Les coordonnées géographiques sont une conversion des coordonnées ferroviaires en Lambert 93 et en WGS84 (EPSG:3857).  Dernière mise à jour: 21/04/2023;Réseau;SNCF RESEAU,Lignes,Infrastructure,Mode de cantonnement,Géolocalisation;Open Database License (ODbL);fr;Europe/Paris;2022-03-24;2023-06-28;2024-01-10;SNCF Réseau;;;;;;;;;;;;;;;;Annuelle;1596;True;En retard
mouvements-sociaux-depuis-2002;False;Mouvements sociaux depuis 2002 : motif et participation;Ce jeu de données recense les mouvements sociaux à la SNCF depuis 2002.  Pour chaque journée de grève est indiqué le motif, les organisations syndicales appelant à la grève et le taux de participation.;Social et ressources humaines;Mouvements sociaux,Histoire,Grève,Direction Cohésion;Open Database License (ODbL);fr;;2024-04-24;2024-04-24;2024-04-24;SNCF;;;;2014-06-19;;;;;Mensuelle;;Depuis 2002;Jour;;;;Mensuelle;469;True;En retard
nombre-bornes-appel-transilien;True;Nombre de bornes d'appel d'urgence par gare Transilien;Nombre de bornes d'appel d'urgence présentes dans les gares du réseau Transilien.;Services voyageurs;Transilien,Ile-de-France,Gare de voyageurs,Equipement;Open Database License (ODbL);;;2018-01-12;2021-12-01;2024-08-02;SNCF Voyageurs;;;;;;;;;;;;;;;;;409;True;
